Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
13230;20.04;20.0;120.0;255.0
13260;20.05;20.0;120.0;255.0
13290;20.03;20.0;120.0;255.0
13320;20.01;20.0;120.0;255.0
13350;20.0;20.0;120.0;255.0
13380;19.99;20.0;120.0;255.0
13410;19.99;20.0;120.0;255.0
13440;19.99;20.0;120.0;255.0
13470;19.96;20.0;120.0;255.0
13500;19.99;20.0;120.0;255.0
13530;19.99;20.0;120.0;255.0
13560;19.98;20.0;120.0;255.0
13590;19.98;20.0;120.0;255.0
13620;19.96;20.0;120.0;255.0
13650;19.98;20.0;120.0;255.0
13680;20.04;20.0;120.0;255.0
13710;20.05;20.0;120.0;255.0
13740;20.05;20.0;120.0;255.0
13770;20.03;20.0;120.0;255.0
13800;20.03;20.0;120.0;255.0
13830;20.03;20.0;120.0;255.0
13860;19.99;20.0;120.0;255.0
13890;19.99;20.0;120.0;255.0
13920;20.0;20.0;120.0;255.0
13950;19.99;20.0;120.0;255.0
13980;19.99;20.0;120.0;255.0
14010;19.98;20.0;120.0;255.0
14040;19.99;20.0;120.0;255.0
14070;19.98;20.0;120.0;255.0
14100;19.94;20.0;120.0;255.0
14130;19.98;20.0;120.0;255.0
14160;20.04;20.0;120.0;255.0
14190;20.04;20.0;120.0;255.0
14220;20.03;20.0;120.0;255.0
14250;20.04;20.0;120.0;255.0
14280;20.03;20.0;120.0;255.0
14310;20.03;20.0;120.0;255.0
14340;20.0;20.0;120.0;255.0
14370;19.99;20.0;120.0;255.0
14400;20.0;20.0;120.0;255.0
14430;19.99;20.0;120.0;255.0
14460;19.98;20.0;120.0;255.0
14490;19.96;20.0;120.0;255.0
14520;19.98;20.0;120.0;255.0
14550;19.95;20.0;120.0;255.0
14580;20.01;20.0;120.0;255.0
14610;20.05;20.0;120.0;255.0
14640;20.04;20.0;120.0;255.0
14670;20.03;20.0;120.0;255.0
14700;20.0;20.0;120.0;255.0
14730;19.99;20.0;120.0;255.0
14760;20.0;20.0;120.0;255.0
14790;20.0;20.0;120.0;255.0
14820;20.01;20.0;120.0;255.0
14850;19.99;20.0;120.0;255.0
14880;19.98;20.0;120.0;255.0
14910;19.95;20.0;120.0;255.0
14940;19.92;20.0;120.0;255.0
14970;20.0;20.0;120.0;255.0
15000;20.04;20.0;120.0;255.0
15030;20.01;20.0;120.0;255.0
15060;20.0;20.0;120.0;255.0
15090;19.99;20.0;120.0;255.0
15120;20.03;20.0;120.0;255.0
15150;20.01;20.0;120.0;255.0
15180;20.0;20.0;120.0;255.0
15210;19.99;20.0;120.0;255.0
15240;20.0;20.0;120.0;255.0
15270;20.0;20.0;120.0;255.0
15300;20.0;20.0;120.0;255.0
15330;20.0;20.0;120.0;255.0
15360;20.0;20.0;120.0;255.0
15390;19.99;20.0;120.0;255.0
15420;19.96;20.0;120.0;255.0
15450;19.94;20.0;120.0;255.0
15480;19.98;20.0;120.0;255.0
15510;20.04;20.0;120.0;255.0
15540;20.05;20.0;120.0;255.0
15570;20.04;20.0;120.0;255.0
15600;20.01;20.0;120.0;255.0
15630;20.0;20.0;120.0;255.0
15660;19.99;20.0;120.0;255.0
15690;20.0;20.0;120.0;255.0
15720;19.99;20.0;120.0;255.0
15750;19.99;20.0;120.0;255.0
15780;19.96;20.0;120.0;255.0
15810;19.94;20.0;120.0;255.0
15840;20.0;20.0;120.0;255.0
15870;20.04;20.0;120.0;255.0
15900;20.04;20.0;120.0;255.0
15930;20.03;20.0;120.0;255.0
15960;20.01;20.0;120.0;255.0
15990;20.01;20.0;120.0;255.0
16020;20.01;20.0;120.0;255.0
16050;20.0;20.0;120.0;255.0
16080;20.0;20.0;120.0;255.0
16110;19.99;20.0;120.0;255.0
16140;19.99;20.0;120.0;255.0
16170;19.98;20.0;120.0;255.0
16200;19.94;20.0;120.0;255.0
16230;19.96;20.0;120.0;255.0
16260;20.05;20.0;120.0;255.0
16290;20.05;20.0;120.0;255.0
16320;20.04;20.0;120.0;255.0
16350;20.03;20.0;120.0;255.0
16380;20.0;20.0;120.0;255.0
16410;20.0;20.0;120.0;255.0
16440;20.01;20.0;120.0;255.0
16470;19.98;20.0;120.0;255.0
16500;19.99;20.0;120.0;255.0
16530;19.99;20.0;120.0;255.0
16560;19.96;20.0;120.0;255.0
16590;19.95;20.0;120.0;255.0
16620;19.99;20.0;120.0;255.0
16650;20.04;20.0;120.0;255.0
16680;20.04;20.0;120.0;255.0
16710;20.04;20.0;120.0;255.0
16740;20.01;20.0;120.0;255.0
16770;20.0;20.0;120.0;255.0
16800;19.99;20.0;120.0;255.0
16830;19.99;20.0;120.0;255.0
16860;20.0;20.0;120.0;255.0
16890;19.99;20.0;120.0;255.0
16920;19.98;20.0;120.0;255.0
16950;19.96;20.0;120.0;255.0
16980;19.96;20.0;120.0;255.0
17010;19.95;20.0;120.0;255.0
17040;19.96;20.0;120.0;255.0
17070;20.03;20.0;120.0;255.0
17100;20.03;20.0;120.0;255.0
17130;20.03;20.0;120.0;255.0
17160;20.03;20.0;120.0;255.0
17190;20.01;20.0;120.0;255.0
17220;20.0;20.0;120.0;255.0
17250;20.0;20.0;120.0;255.0
17280;20.0;20.0;120.0;255.0
17310;20.0;20.0;120.0;255.0
17340;19.98;20.0;120.0;255.0
17370;19.96;20.0;120.0;255.0
17400;19.98;20.0;120.0;255.0
17430;19.96;20.0;120.0;255.0
17460;19.99;20.0;120.0;255.0
17490;20.04;20.0;120.0;255.0
17520;20.03;20.0;120.0;255.0
17550;20.03;20.0;120.0;255.0
17580;20.01;20.0;120.0;255.0
17610;20.01;20.0;120.0;255.0
17640;20.01;20.0;120.0;255.0
17670;20.0;20.0;120.0;255.0
17700;20.0;20.0;120.0;255.0
17730;19.99;20.0;120.0;255.0
17760;19.99;20.0;120.0;255.0
17790;19.98;20.0;120.0;255.0
17820;19.94;20.0;120.0;255.0
17850;20.0;20.0;120.0;255.0
17880;20.04;20.0;120.0;255.0
